timestamp,market,outcome,entry_price,size_usdc,tokens,market_end_ts,payout_price,pnl_usdc,settled_at,result
2026-03-18T04:18:35.357071+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.08527596638074578,1.0,11.726633451858334,1773807600,0.0,-24.4263,2026-03-18T04:21:42.442387+00:00,LOSS
2026-03-18T04:18:35.859040+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.9200995240001595,11.43855,12.431861664562732,1773807600,1.0,25.055103061011913,2026-03-18T04:21:42.443458+00:00,WIN
2026-03-18T04:18:36.360057+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.9163935106754432,11.43855,12.4821377134906,1773807600,1.0,25.055103061011913,2026-03-18T04:21:42.443458+00:00,WIN
2026-03-18T04:18:36.975268+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5133165468712844,6.0237,11.734864260104322,1773807900,,,,OPEN
2026-03-18T04:18:37.489771+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5111549461338679,6.0237,11.784489312996758,1773807900,,,,OPEN
2026-03-18T04:18:37.992486+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.4932252790869833,5.7563,11.670731902986752,1773807900,,,,OPEN
2026-03-18T04:18:38.506099+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.49041104170207117,5.7563,11.737704722188944,1773807900,,,,OPEN
2026-03-18T04:21:28.646353+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5112274237466119,5.95685,11.652054884583993,1773807900,,,,OPEN
2026-03-18T04:21:29.148298+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5064573357743343,5.95685,11.761800213422589,1773807900,,,,OPEN
2026-03-18T04:21:29.649360+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.50220073624535,5.82315,11.595263765513682,1773807900,,,,OPEN
2026-03-18T04:21:30.165641+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.49885548440265093,5.82315,11.673019906702775,1773807900,,,,OPEN
2026-03-18T04:21:30.783734+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5157629281088555,5.95685,11.549589308099252,1773808200,0.0,-35.7411,2026-03-18T04:31:23.443798+00:00,LOSS
2026-03-18T04:21:31.297399+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5087046310440674,5.95685,11.709840320844215,1773808200,0.0,-35.7411,2026-03-18T04:31:23.443798+00:00,LOSS
2026-03-18T04:21:31.799976+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.5016179152823664,5.82315,11.60873609691967,1773808200,1.0,35.19304758563178,2026-03-18T04:31:23.444738+00:00,WIN
2026-03-18T04:21:32.314652+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.49855767476718954,5.82315,11.679992696370032,1773808200,1.0,35.19304758563178,2026-03-18T04:31:23.444738+00:00,WIN
2026-03-18T04:21:32.931803+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.46772962833952897,5.42205,11.592273979411214,1773807900,,,,OPEN
2026-03-18T04:21:33.434230+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.465270192743292,5.42205,11.653551172128406,1773807900,,,,OPEN
2026-03-18T04:21:33.947490+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.539166150366949,6.35795,11.792190581090573,1773807900,,,,OPEN
